Продукт;Идентификатор пробы;Дата;Время;Статус пробы;Номер пробы;Fat;Lactose;Protein;SNF;TS;Белок;Жир;Лактоза;Сухие;Сухой остаток;Сухой остаток не жир;Т.замерзания;лактоза;Formaldeh;P-Nitrite;S-Bicarb;Sucrose;Urea;Zero1;Zero2;Zero3;Buffalo Milk;Cow Milk;Состояние прибора
Clean;;18-04-2021;03:01:31;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0103 : Установка нуля не выполнена
Zero;;18-04-2021;03:02:36;0000 : Ошибка отсутствует;34305;;;;;;;;;;;;;;;;;;;-0.01;0.00;-0.02;;;0103 : Установка нуля не выполнена
Clean;;18-04-2021;03:13:35;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0101 : Установка нуля не выполнена
Zero;;18-04-2021;03:14:39;0000 : Ошибка отсутствует;34308;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;;;0000 : ОК
Сливки;2т;18-04-2021;03:16:53;0000 : Ошибка отсутствует;34311;;;;;;1.77;36.61;;;41.27;5.23;;2.63;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;03:18:22;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;05:03:55;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0101 : Установка нуля не выполнена, 0117 : Нагреватель IFU слишком холодный
Zero;;18-04-2021;05:04:59;0000 : Ошибка отсутствует;34312;;;;;;;;;;;;;;;;;;;0.00;0.00;0.00;;;0117 : Нагреватель IFU слишком холодный
Zero;;18-04-2021;05:33:57;0028 : Предсказание выходит за пределы;34315;;;;;;;;;;;;;;;;;;;0.11;-0.00;0.04;;;0126 : Необходима установка нуля
Clean;;18-04-2021;05:35:54;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0103 : Установка нуля не выполнена, 0126 : Необходима установка нуля
Zero;;18-04-2021;05:36:58;0000 : Ошибка отсутствует;34318;;;;;;;;;;;;;;;;;;;-0.02;0.01;-0.01;;;0103 : Установка нуля не выполнена, 0126 : Необходима установка нуля
Zero;;18-04-2021;05:39:38;0000 : Ошибка отсутствует;34321;;;;;;;;;;;;;;;;;;;0.03;-0.00;0.02;;;0000 : ОК
Сливки;1т;18-04-2021;05:43:38;0000 : Ошибка отсутствует;34324;;;;;;1.81;35.77;;;40.41;5.34;;2.61;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;05:45:10;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;07:04:06;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0126 : Необходима установка нуля
Zero;;18-04-2021;07:05:10;0028 : Предсказание выходит за пределы;34325;;;;;;;;;;;;;;;;;;;-0.14;0.01;-0.00;;;0126 : Необходима установка нуля
Clean;;18-04-2021;07:07:18;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0103 : Установка нуля не выполнена, 0126 : Необходима установка нуля
Zero;;18-04-2021;07:08:22;0028 : Предсказание выходит за пределы;34328;;;;;;;;;;;;;;;;;;;0.09;0.00;0.01;;;0103 : Установка нуля не выполнена, 0126 : Необходима установка нуля
Zero;;18-04-2021;07:22:15;0000 : Ошибка отсутствует;34331;;;;;;;;;;;;;;;;;;;-0.02;0.01;0.02;;;0103 : Установка нуля не выполнена, 0126 : Необходима установка нуля
Сливки;1т;18-04-2021;07:58:50;0000 : Ошибка отсутствует;34334;;;;;;1.82;35.94;;;40.54;5.27;;2.63;;;;;;;;;;;0000 : ОК
Сливки;2т;18-04-2021;08:01:04;0000 : Ошибка отсутствует;34335;;;;;;1.76;36.89;;;41.51;5.31;;2.65;;;;;;;;;;;0000 : ОК
Clean;;18-04-2021;08:05:39;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0000 : ОК
Zero;;18-04-2021;08:24:16;0028 : Предсказание выходит за пределы;34336;;;;;;;;;;;;;;;;;;;-0.32;-0.01;-0.05;;;0000 : ОК
Clean;;18-04-2021;08:26:19;0000 : Ошибка отсутствует;-1;;;;;;;;;;;;;;;;;;;;;;;;0103 : Установка нуля не выполнена
Zero;;18-04-2021;08:27:24;0028 : Предсказание выходит за пределы;34339;;;;;;;;;;;;;;;;;;;0.27;0.01;0.04;;;0103 : Установка нуля не выполнена
